Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,4.314250,4.348750,4.116500,4.154250,4.130406,709756000
2019-07-02,4.137500,4.158750,4.042500,4.055750,4.032472,400228000
2019-07-03,4.079250,4.085000,4.008500,4.068750,4.045399,246636000
2019-07-05,4.010000,4.014500,3.942000,4.005750,3.982760,396552000
2019-07-08,3.945750,3.964750,3.900000,3.930250,3.907692,329788000
2019-07-09,3.887750,3.961000,3.875000,3.932750,3.910178,342860000
2019-07-10,3.976500,4.059250,3.962500,4.001500,3.978533,452076000
2019-07-11,4.075000,4.198000,4.037500,4.157000,4.133142,682560000
2019-07-12,4.185000,4.261750,4.185000,4.190250,4.166201,506392000
2019-07-15,4.211500,4.227750,4.153250,4.181750,4.157748,289840000
2019-07-16,4.166750,4.204250,4.121000,4.177000,4.153026,341444000
2019-07-17,4.178750,4.249750,4.149250,4.242750,4.218400,348204000
2019-07-18,4.253250,4.317750,4.196250,4.254500,4.230082,442192000
2019-07-19,4.293000,4.299500,4.205000,4.211000,4.186831,344896000
2019-07-22,4.232500,4.296000,4.225000,4.283000,4.258417,315940000
2019-07-23,4.322500,4.393500,4.306750,4.391500,4.366295,428176000
2019-07-24,4.435000,4.472250,4.358500,4.466500,4.440864,366236000
2019-07-25,4.424750,4.437500,4.311000,4.334500,4.309622,392700000
2019-07-26,4.361750,4.423750,4.361750,4.376750,4.351629,274160000
2019-07-29,4.369500,4.386750,4.281750,4.370500,4.345415,248160000
2019-07-30,4.323750,4.398500,4.309250,4.386250,4.361075,197772000
2019-07-31,4.354500,4.355500,4.175500,4.218000,4.193790,359416000
2019-08-01,4.228500,4.319500,4.070500,4.123000,4.099336,421212000
2019-08-02,4.029750,4.099500,3.982000,4.029750,4.006620,428348000
2019-08-05,3.845000,3.846250,3.722500,3.769750,3.748114,589156000
2019-08-06,3.845000,3.890750,3.760750,3.808750,3.786889,361272000
2019-08-07,3.747500,3.859250,3.730000,3.847250,3.825169,372560000
2019-08-08,3.905250,3.957750,3.847500,3.956500,3.933792,309300000
2019-08-09,3.915250,3.918750,3.803750,3.854500,3.832377,341816000
2019-08-12,3.802000,3.854500,3.764250,3.786250,3.764519,279200000
2019-08-13,3.784750,3.947500,3.745500,3.901250,3.878859,351956000
2019-08-14,3.812500,3.823750,3.707750,3.751750,3.730217,419880000
2019-08-15,3.770750,3.790750,3.684750,3.719250,3.697903,477200000
2019-08-16,3.983750,4.038500,3.922000,3.989000,3.966105,1007960000
2019-08-19,4.103000,4.285500,4.086750,4.269500,4.244994,815112000
2019-08-20,4.264000,4.264500,4.175500,4.196750,4.172663,463188000
2019-08-21,4.263250,4.336250,4.241500,4.280750,4.256180,427244000
2019-08-22,4.290500,4.333250,4.247500,4.287000,4.262395,303488000
2019-08-23,4.210000,4.264750,4.041000,4.061000,4.037691,568056000
2019-08-26,4.140250,4.164500,4.097750,4.136250,4.112510,318208000
2019-08-27,4.174750,4.177500,4.015500,4.045000,4.021784,290968000
2019-08-28,4.014500,4.083500,3.975000,4.030500,4.011333,255612000
2019-08-29,4.122500,4.207500,4.119000,4.175000,4.155147,357976000
2019-08-30,4.221500,4.271500,4.169500,4.187750,4.167836,290616000
2019-09-03,4.114500,4.147750,4.081250,4.104250,4.084733,296140000
2019-09-04,4.165250,4.226500,4.165250,4.219000,4.198936,227728000
2019-09-05,4.321750,4.499750,4.320000,4.493500,4.472132,695676000
2019-09-06,4.470000,4.527250,4.428000,4.466250,4.445011,376976000
2019-09-09,4.497500,4.599500,4.496000,4.512500,4.491042,417524000
2019-09-10,4.479500,4.606250,4.469750,4.579500,4.557723,352812000
2019-09-11,4.594250,4.656750,4.565000,4.608250,4.586337,361512000
